league,month,total,correct,hitRate
"BL1","2023-10",14,10,"0.714"
"BL1","2023-11",5,3,"0.600"
"BL1","2023-12",10,8,"0.800"
"BL1","2024-01",8,3,"0.375"
"BL1","2024-02",9,4,"0.444"
"BL1","2024-03",12,8,"0.667"
"BL1","2024-04",9,7,"0.778"
"BL1","2024-05",6,5,"0.833"
"BL1","2024-10",7,3,"0.429"
"BL1","2024-11",8,7,"0.875"
"BL1","2024-12",9,6,"0.667"
"BL1","2025-01",9,7,"0.778"
"BL1","2025-02",11,5,"0.455"
"BL1","2025-03",8,2,"0.250"
"BL1","2025-04",8,5,"0.625"
"BL1","2025-05",5,4,"0.800"
"BL1","2025-10",10,7,"0.700"
"BL1","2025-11",9,8,"0.889"
"BL1","2025-12",3,1,"0.333"
"BL1","2026-01",11,7,"0.636"
"BL1","2026-02",9,6,"0.667"
"BL1","2026-03",8,7,"0.875"
"BL1","2026-04",8,6,"0.750"
"BL1","2026-05",8,3,"0.375"
"CH","2023-09",3,3,"1.000"
"CH","2023-10",7,6,"0.857"
"CH","2023-11",6,5,"0.833"
"CH","2023-12",6,5,"0.833"
"CH","2024-01",5,4,"0.800"
"CH","2024-02",12,6,"0.500"
"CH","2024-03",9,7,"0.778"
"CH","2024-04",11,5,"0.455"
"CH","2024-05",2,1,"0.500"
"CH","2024-09",5,5,"1.000"
"CH","2024-10",6,3,"0.500"
"CH","2024-11",7,6,"0.857"
"CH","2024-12",4,2,"0.500"
"CH","2025-01",6,2,"0.333"
"CH","2025-02",5,4,"0.800"
"CH","2025-03",7,4,"0.571"
"CH","2025-04",2,2,"1.000"
"CH","2025-05",2,2,"1.000"
"CH","2025-09",1,0,"0.000"
"CH","2025-10",2,2,"1.000"
"CH","2025-11",1,1,"1.000"
"CH","2025-12",2,1,"0.500"
"CH","2026-01",3,1,"0.333"
"CH","2026-02",4,3,"0.750"
"CH","2026-03",5,3,"0.600"
"CH","2026-04",6,4,"0.667"
"CZE1","2023-08",1,1,"1.000"
"CZE1","2023-09",6,6,"1.000"
"CZE1","2023-10",7,3,"0.429"
"CZE1","2023-11",5,4,"0.800"
"CZE1","2023-12",7,5,"0.714"
"CZE1","2024-02",6,4,"0.667"
"CZE1","2024-03",5,4,"0.800"
"CZE1","2024-04",5,2,"0.400"
"CZE1","2024-05",6,4,"0.667"
"CZE1","2024-08",1,0,"0.000"
"CZE1","2024-09",6,3,"0.500"
"CZE1","2024-10",4,3,"0.750"
"CZE1","2024-11",3,3,"1.000"
"CZE1","2024-12",7,5,"0.714"
"CZE1","2025-02",6,5,"0.833"
"CZE1","2025-03",5,4,"0.800"
"CZE1","2025-04",7,7,"1.000"
"CZE1","2025-05",5,4,"0.800"
"CZE1","2025-08",1,1,"1.000"
"CZE1","2025-09",2,2,"1.000"
"CZE1","2025-10",4,2,"0.500"
"CZE1","2025-11",6,4,"0.667"
"CZE1","2025-12",1,1,"1.000"
"CZE1","2026-02",4,4,"1.000"
"CZE1","2026-03",2,1,"0.500"
"CZE1","2026-04",4,3,"0.750"
"EL1","2023-09",10,4,"0.400"
"EL1","2023-10",12,8,"0.667"
"EL1","2023-11",7,6,"0.857"
